date,ans,wti,henry_hub,brent,production
4/15/2002,23.22,24.57,,,"1,018,357"
4/16/2002,23.40,24.75,,,"1,029,822"
4/17/2002,24.59,25.94,,,"986,203"
4/18/2002,24.83,26.18,,,"1,015,461"
4/19/2002,25.38,26.38,,,"1,003,420"
4/20/2002,,,,,"1,006,594"
4/21/2002,,,,,"1,000,136"
4/22/2002,25.27,26.27,,,"1,016,334"
4/23/2002,25.47,26.57,,,"1,018,939"
4/24/2002,25.15,26.25,,,"1,016,439"
4/25/2002,25.48,26.58,,,"930,745"
4/26/2002,26.01,27.11,,,"935,323"
4/27/2002,,,,,"959,819"
4/28/2002,,,,,"1,027,224"
4/29/2002,26.47,27.57,,,"1,043,975"
4/30/2002,26.19,27.29,,,"1,041,262"
5/1/2002,25.95,26.75,,,"1,036,293"
5/2/2002,25.44,26.24,,,"1,031,700"
5/3/2002,25.82,26.62,,,"1,054,089"
5/4/2002,,,,,"1,051,422"
5/5/2002,,,,,"1,042,465"
5/6/2002,25.32,26.12,,,"1,018,230"
5/7/2002,25.83,26.63,,,"1,000,695"
5/8/2002,27.00,27.85,,,"979,342"
5/9/2002,26.83,27.68,,,"951,349"
5/10/2002,27.14,27.99,,,"952,776"
5/11/2002,,,,,"984,398"
5/12/2002,,,,,"998,292"
5/13/2002,27.55,28.40,,,"1,034,079"
